ID	UMAP_X	UMAP_Y	UMAP_Z
OAS1_0002_MR1	16.164898	4.1772103	3.8381948
OAS1_0003_MR1	15.036212	7.5296545	5.882308
OAS1_0010_MR1	15.940852	3.4156308	4.778506
OAS1_0011_MR1	16.160254	7.2212977	6.3527045
OAS1_0013_MR1	16.750872	7.598989	6.4377933
OAS1_0015_MR1	14.527666	3.815128	4.116201
OAS1_0016_MR1	16.552748	4.29302	4.9721665
OAS1_0018_MR1	13.732749	4.3276887	3.6200745
OAS1_0019_MR1	15.315194	8.044302	6.393264
OAS1_0020_MR1	16.522928	4.129368	4.230976
OAS1_0021_MR1	13.149142	4.284648	4.4476457
OAS1_0022_MR1	14.277624	4.5322533	4.470514
OAS1_0023_MR1	13.954365	3.4987495	3.9903202
OAS1_0026_MR1	16.488924	8.001939	7.129814
OAS1_0028_MR1	13.36249	4.764192	4.324328
OAS1_0030_MR1	16.730124	7.222087	5.5625997
OAS1_0031_MR1	15.621972	7.8794336	6.375726
OAS1_0032_MR1	17.00876	6.2835827	5.5940533
OAS1_0033_MR1	16.796164	7.867004	6.964605
OAS1_0034_MR1	15.085832	4.674589	4.71073
OAS1_0035_MR1	14.981377	7.6734176	6.4340196
OAS1_0039_MR1	14.808087	8.07646	5.9107785
OAS1_0041_MR1	15.30664	4.4347177	4.8170567
OAS1_0042_MR1	13.29027	4.2269454	3.857142
OAS1_0044_MR1	15.901426	4.182859	4.497834
OAS1_0046_MR1	15.373581	3.2028828	4.5991025
OAS1_0052_MR1	15.952278	3.8342016	4.956421
OAS1_0053_MR1	17.051083	7.580374	5.7268133
OAS1_0056_MR1	16.900797	7.3598523	6.231578
OAS1_0058_MR1	16.297709	7.978324	6.00746
OAS1_0060_MR1	13.726235	3.6975386	4.5474763
OAS1_0062_MR1	16.002485	4.0597296	3.6302195
OAS1_0064_MR1	14.436658	4.1872907	3.324869
OAS1_0065_MR1	14.380305	4.224206	4.3071995
OAS1_0066_MR1	17.098852	6.747578	5.412108
OAS1_0067_MR1	13.512122	5.2739453	4.2540154
OAS1_0068_MR1	15.573704	8.330217	5.6429353
OAS1_0069_MR1	16.187883	8.582033	5.7569084
OAS1_0070_MR1	16.546844	7.763748	7.363169
OAS1_0071_MR1	15.483026	7.9676824	5.473298
OAS1_0072_MR1	15.393074	7.298851	5.5428452
OAS1_0073_MR1	14.32203	3.409342	3.705008
OAS1_0074_MR1	17.234184	6.914086	5.6340694
OAS1_0075_MR1	14.374086	7.386977	5.784411
OAS1_0078_MR1	14.008434	4.9538255	3.8058815
OAS1_0082_MR1	14.596097	7.3981485	6.3639684
OAS1_0083_MR1	15.399914	8.403006	6.156388
OAS1_0084_MR1	14.2085	4.3451204	3.411717
