ID	UMAP_X	UMAP_Y	UMAP_Z
OAS1_0002_MR1	2.1433387	14.052038	-0.7415853
OAS1_0003_MR1	1.3345504	11.549515	4.880822
OAS1_0010_MR1	1.3567581	13.120367	-0.58509666
OAS1_0011_MR1	0.31605768	12.21068	5.585988
OAS1_0013_MR1	-0.091675974	12.229232	5.3064194
OAS1_0015_MR1	2.735015	12.63989	0.21322753
OAS1_0016_MR1	1.0268103	13.66184	-0.52787864
OAS1_0018_MR1	3.5906255	12.107274	0.21438149
OAS1_0019_MR1	0.92558545	11.517346	4.464021
OAS1_0020_MR1	1.6875662	13.969343	-0.81393033
OAS1_0021_MR1	2.815113	11.348064	0.4754709
OAS1_0022_MR1	2.7025921	12.863768	0.97754264
OAS1_0023_MR1	2.7145379	11.915968	-0.166212
OAS1_0026_MR1	-0.391167	11.227435	5.2204795
OAS1_0028_MR1	3.1351042	11.627446	0.7787534
OAS1_0030_MR1	-0.4815492	12.992458	5.008884
OAS1_0031_MR1	0.8126393	11.553017	4.91775
OAS1_0032_MR1	-0.9962883	13.204424	4.574692
OAS1_0033_MR1	-0.21040583	11.578102	5.270994
OAS1_0034_MR1	2.3355002	13.300767	0.8758364
OAS1_0035_MR1	0.862402	11.049975	4.377275
OAS1_0039_MR1	1.5237907	11.305222	4.3615317
OAS1_0041_MR1	1.9718964	13.373391	0.55421686
OAS1_0042_MR1	3.2433007	11.663989	0.22617017
OAS1_0044_MR1	1.7506591	13.811202	-0.15574078
OAS1_0046_MR1	1.6679912	12.6671095	-0.6697821
OAS1_0052_MR1	1.5728608	13.161722	-0.49546084
OAS1_0053_MR1	-0.44165805	12.797777	4.80098
OAS1_0056_MR1	-0.39047977	12.515049	5.292121
OAS1_0058_MR1	0.40388703	12.191394	4.620471
OAS1_0060_MR1	2.4554021	11.892693	0.23488276
OAS1_0062_MR1	2.3177278	13.849206	-0.86321735
OAS1_0064_MR1	3.5024698	12.946583	-0.1491865
OAS1_0065_MR1	2.888903	13.050429	0.49014395
OAS1_0066_MR1	-0.6949316	13.46696	4.940031
OAS1_0067_MR1	3.5303874	12.047079	0.9236785
