ID	UMAP_X	UMAP_Y	UMAP_Z
OAS1_0002_MR1	2.3127508	8.450459	-0.7775102
OAS1_0003_MR1	-1.1783775	5.3391943	-2.3015776
OAS1_0010_MR1	1.2902943	8.53282	-0.42259023
OAS1_0011_MR1	-0.7262047	6.30203	-2.6077778
OAS1_0013_MR1	-0.46702006	6.531867	-3.2031271
OAS1_0015_MR1	2.0080276	7.8204966	0.7348197
OAS1_0016_MR1	1.206969	8.15893	-1.2535882
OAS1_0018_MR1	2.041338	7.759485	1.6749605
OAS1_0019_MR1	-0.84282804	5.3392777	-2.9846246
OAS1_0020_MR1	1.9244776	8.48393	-1.0706702
OAS1_0021_MR1	1.0798142	7.5142155	1.6952976
OAS1_0022_MR1	2.041862	7.036289	0.81347173
OAS1_0023_MR1	1.6410409	8.174242	1.2097561
OAS1_0026_MR1	0.08911581	5.828405	-3.1848001
OAS1_0028_MR1	1.4424477	7.206076	1.7314187
OAS1_0030_MR1	-1.0179425	7.135521	-2.9040577
OAS1_0031_MR1	-0.8601486	5.6033535	-2.8508878
OAS1_0032_MR1	-0.093063585	7.5853662	-2.4784896
OAS1_0033_MR1	0.04293713	6.192525	-3.367941
OAS1_0034_MR1	1.945361	7.1933217	-0.011215126
OAS1_0035_MR1	-0.62309754	5.0612926	-2.7945502
OAS1_0039_MR1	-1.2158872	5.1082916	-2.636232
OAS1_0041_MR1	1.7747146	7.419341	-0.16165563
OAS1_0042_MR1	1.6116989	7.724685	1.9034224
OAS1_0044_MR1	1.8030277	8.013614	-0.6344338
OAS1_0046_MR1	1.3589007	8.562035	0.11181355
OAS1_0052_MR1	1.2189178	8.170691	-0.6188998
OAS1_0053_MR1	-0.89911216	7.0207233	-3.2854002
OAS1_0056_MR1	-0.57158816	6.786833	-3.023258
OAS1_0058_MR1	-1.0740647	6.1327996	-3.344806
OAS1_0060_MR1	1.2420756	7.7557235	1.1626564
OAS1_0062_MR1	2.5043788	8.339009	-0.5509151
OAS1_0064_MR1	2.5834165	8.026466	1.1222113
OAS1_0065_MR1	2.025886	7.402296	0.8520515
OAS1_0066_MR1	-0.56902075	7.6368604	-2.7699463
OAS1_0067_MR1	1.8646444	7.011816	1.9157368
OAS1_0068_MR1	-1.4662563	5.543524	-3.2927308
OAS1_0069_MR1	-1.0487745	5.6061673	-3.8962252
OAS1_0070_MR1	0.3502424	5.9111795	-2.947988
OAS1_0071_MR1	-1.6378901	5.583206	-2.9406216
OAS1_0072_MR1	-1.45237	5.7959437	-2.324623
OAS1_0073_MR1	1.9733052	8.401193	1.0797821
OAS1_0074_MR1	-0.53243977	7.4850683	-2.919988
OAS1_0075_MR1	-1.1106765	4.647415	-2.3571734
OAS1_0078_MR1	2.3205538	7.219238	1.5243323
OAS1_0082_MR1	-0.52240336	4.8520045	-2.541759
OAS1_0083_MR1	-1.0095843	5.172879	-3.310269
OAS1_0084_MR1	2.4465666	7.8549943	1.3754793
OAS1_0085_MR1	-0.9786739	5.6762705	-3.701596
OAS1_0086_MR1	2.607471	8.523209	0.1944614
OAS1_0094_MR1	2.0598571	6.9448295	1.7786424
OAS1_0096_MR1	-0.8520928	4.878607	-2.287465
OAS1_0098_MR1	-0.35931495	5.9467306	-3.3054504
OAS1_0106_MR1	2.1202724	7.2982206	0.22453097
OAS1_0109_MR1	-1.5288162	5.5278826	-2.4260356
OAS1_0110_MR1	-0.17946742	6.2309837	-2.9637756
OAS1_0112_MR1	1.5051566	8.431648	-0.63319755
OAS1_0113_MR1	-1.2993087	5.4450836	-3.6061985
OAS1_0114_MR1	1.4351975	7.987855	1.6346369
OAS1_0115_MR1	1.9175725	6.594086	0.7313088
OAS1_0116_MR1	-0.52155185	5.953367	-2.9138553
OAS1_0120_MR1	-0.42063236	7.046822	-3.1790633
OAS1_0122_MR1	-0.081312515	6.629241	-3.307658
OAS1_0123_MR1	2.0716321	8.744354	-0.6171429
OAS1_0124_MR1	-0.049592435	6.829109	-2.9528627
OAS1_0130_MR1	1.6319118	8.020429	1.1366074
OAS1_0133_MR1	2.1487155	7.418469	1.079173
OAS1_0134_MR1	2.1700978	8.789027	0.5996953
OAS1_0135_MR1	2.7452562	8.693683	0.2502631
OAS1_0137_MR1	-0.35115683	6.680345	-2.5186496
OAS1_0138_MR1	-1.5378789	4.8634696	-2.6098783
OAS1_0139_MR1	2.3860767	8.644887	-0.24211495
OAS1_0142_MR1	-0.24457848	6.160132	-3.706559
OAS1_0143_MR1	1.7430744	8.430448	-0.058166582
OAS1_0146_MR1	2.2620547	8.33719	0.81866765
OAS1_0155_MR1	1.5330858	8.451019	-0.8986506
OAS1_0157_MR1	1.0269833	7.9362535	-1.2379717
OAS1_0158_MR1	-0.37326488	7.3676705	-2.8735726
OAS1_0161_MR1	-0.8022269	5.9564962	-3.5376842
OAS1_0164_MR1	-0.8116865	7.285099	-3.0861187
OAS1_0165_MR1	-0.88955975	6.6264644	-3.4737136
OAS1_0166_MR1	-0.12562686	5.7515306	-3.2647085
OAS1_0169_MR1	2.6236808	7.8912077	0.31928578
OAS1_0170_MR1	-1.1554517	6.1389084	-2.4850726
OAS1_0176_MR1	1.9481138	8.584943	0.56025857
OAS1_0177_MR1	2.805943	8.197965	0.67297333
OAS1_0179_MR1	-1.4772437	5.332735	-3.6521533
OAS1_0180_MR1	1.8171631	8.791924	-0.43224585
OAS1_0181_MR1	1.6190606	8.123989	-0.00456804
OAS1_0184_MR1	1.7796534	7.8418965	1.6092703
OAS1_0185_MR1	1.7441859	7.1529374	0.74448395
OAS1_0186_MR1	2.5058115	8.11401	0.09949351
OAS1_0188_MR1	0.120594755	6.7794785	-2.488281
OAS1_0195_MR1	1.1363804	7.279316	0.65234363
OAS1_0197_MR1	1.8795105	8.722481	0.20994708
OAS1_0199_MR1	1.1218084	7.7723804	1.6945316
OAS1_0200_MR1	1.580184	6.742409	0.69157815
OAS1_0201_MR1	2.4662662	7.416771	0.94173896
OAS1_0203_MR1	-1.455977	5.2282696	-3.0157936
