ID	UMAP_X	UMAP_Y	UMAP_Z
OAS1_0002_MR1	6.264184	5.5836143	-2.491848
OAS1_0003_MR1	7.849148	11.008232	-1.576743
OAS1_0010_MR1	5.231528	5.534675	-2.5325916
OAS1_0011_MR1	7.5000725	10.918442	-2.6000094
OAS1_0013_MR1	7.7235126	10.787532	-2.9346344
OAS1_0015_MR1	5.414188	5.5221257	-0.8837762
OAS1_0016_MR1	5.5241857	5.9110775	-2.9486947
OAS1_0018_MR1	6.0033426	4.996287	-0.43702102
OAS1_0019_MR1	8.291986	10.683464	-1.6252799
OAS1_0020_MR1	6.00526	5.6723447	-2.7358563
OAS1_0021_MR1	5.228455	4.6743097	-0.22704607
OAS1_0022_MR1	5.401418	6.140367	-0.63689905
OAS1_0023_MR1	5.2724056	4.8863235	-0.8338555
OAS1_0026_MR1	8.111048	9.956207	-2.6580377
OAS1_0028_MR1	5.5863876	4.992403	-0.054642677
OAS1_0030_MR1	7.7925043	10.98275	-3.663979
OAS1_0031_MR1	8.023003	10.784806	-1.9127659
OAS1_0032_MR1	7.755946	10.386316	-3.9270315
OAS1_0033_MR1	8.048114	10.31034	-2.7971547
OAS1_0034_MR1	5.445091	6.373628	-1.1186157
OAS1_0035_MR1	8.124541	10.280748	-1.6564218
OAS1_0039_MR1	8.008757	10.618911	-1.2331094
OAS1_0041_MR1	5.3245087	6.30727	-1.5087526
OAS1_0042_MR1	5.6056914	4.7406225	-0.37056175
OAS1_0044_MR1	5.748616	6.0588803	-2.406334
OAS1_0046_MR1	5.162786	5.190888	-2.2702184
OAS1_0052_MR1	5.279469	5.6115284	-2.3912916
OAS1_0053_MR1	7.950485	10.963209	-3.4722657
OAS1_0056_MR1	7.645303	10.711033	-3.2480874
OAS1_0058_MR1	8.45248	10.970892	-2.3916042
OAS1_0060_MR1	5.0463123	5.1064553	-0.6376449
OAS1_0062_MR1	6.226997	5.4587245	-2.366585
OAS1_0064_MR1	6.2956963	5.2771916	-1.0078862
OAS1_0065_MR1	5.670849	5.8526354	-0.9142181
OAS1_0066_MR1	7.5746956	10.870495	-4.0668273
OAS1_0067_MR1	6.016983	5.374027	-0.04987416
OAS1_0068_MR1	8.512632	11.150351	-1.6634037
OAS1_0069_MR1	8.90953	10.796848	-1.957095
OAS1_0070_MR1	8.047287	9.927741	-2.8266768
OAS1_0071_MR1	8.260471	11.352598	-1.8360322
OAS1_0072_MR1	7.8005676	11.257237	-1.775719
OAS1_0073_MR1	5.520997	5.019853	-1.0944071
OAS1_0074_MR1	7.5170417	10.824831	-3.9447775
OAS1_0075_MR1	7.9238214	10.352473	-1.0624732
OAS1_0078_MR1	6.068433	5.661163	-0.38211986
OAS1_0082_MR1	8.046025	10.156417	-1.5414068
OAS1_0083_MR1	8.511404	10.658172	-1.6232103
OAS1_0084_MR1	6.2399836	5.166701	-0.60260904
OAS1_0085_MR1	8.731859	10.725003	-2.0259583
OAS1_0086_MR1	6.342257	5.2606936	-1.6484376
OAS1_0094_MR1	6.2003193	5.5148005	-0.1474356
OAS1_0096_MR1	7.9293995	10.432728	-1.3939888
OAS1_0098_MR1	8.150205	10.482575	-2.4558024
OAS1_0106_MR1	5.5950317	6.233963	-1.1821532
OAS1_0109_MR1	7.8991675	11.240442	-1.6302302
OAS1_0110_MR1	7.7289486	10.424439	-2.7178543
OAS1_0112_MR1	5.4161386	5.774347	-2.6464846
OAS1_0113_MR1	8.704714	11.038042	-1.8085598
OAS1_0114_MR1	5.3049574	4.84735	-0.5378091
OAS1_0115_MR1	5.30692	6.3316875	-0.5056002
OAS1_0116_MR1	7.9198346	10.489713	-2.2829528
OAS1_0120_MR1	7.443167	10.680884	-3.4814715
OAS1_0122_MR1	7.742421	10.365314	-3.2729437
OAS1_0123_MR1	6.186361	5.6063113	-2.452183
OAS1_0124_MR1	7.266812	10.499545	-3.2385638
OAS1_0130_MR1	5.223871	5.120898	-0.9122772
OAS1_0133_MR1	5.46887	5.7176814	-0.6639569
OAS1_0134_MR1	5.813837	5.03176	-1.655338
OAS1_0135_MR1	6.478937	5.138246	-1.6580024
OAS1_0137_MR1	7.415909	10.611301	-2.9592977
OAS1_0138_MR1	7.9720383	10.496935	-0.9501492
OAS1_0139_MR1	6.079948	5.4037013	-2.128867
OAS1_0142_MR1	8.320133	10.458895	-2.9688313
OAS1_0143_MR1	5.5568347	5.345872	-2.1930645
OAS1_0146_MR1	5.8089557	5.2069044	-1.3169506
OAS1_0155_MR1	5.423708	5.706224	-2.835653
OAS1_0157_MR1	5.3205338	6.1815333	-2.8834078
OAS1_0158_MR1	7.713835	10.666281	-3.9106574
OAS1_0161_MR1	8.436762	10.826597	-2.581771
OAS1_0164_MR1	7.60456	10.716478	-3.721386
OAS1_0165_MR1	8.098611	10.982486	-3.089052
OAS1_0166_MR1	7.9688277	10.235787	-2.41637
OAS1_0169_MR1	6.2261953	5.7517653	-1.5256757
OAS1_0170_MR1	7.749509	11.157105	-2.2599096
OAS1_0176_MR1	5.4544673	5.1028647	-1.6983076
OAS1_0177_MR1	6.3840256	5.415489	-1.3726426
OAS1_0179_MR1	8.920308	11.049804	-1.7774945
OAS1_0180_MR1	5.995697	5.430493	-2.523495
OAS1_0181_MR1	5.1708717	5.583508	-2.0096524
OAS1_0184_MR1	5.723787	4.9983172	-0.38841867
OAS1_0185_MR1	5.2371507	6.069892	-0.73454225
OAS1_0186_MR1	6.167765	5.6410294	-1.6880645
OAS1_0188_MR1	7.2316084	10.078726	-3.085467
OAS1_0195_MR1	4.836414	5.9296417	-0.6180541
OAS1_0197_MR1	5.5221157	5.120655	-1.9244528
OAS1_0199_MR1	5.1890764	4.5651803	-0.3672256
OAS1_0200_MR1	5.1029663	6.196639	-0.55457026
OAS1_0201_MR1	5.6339197	5.738133	-0.5770669
OAS1_0203_MR1	8.318386	11.2653	-1.6973553
