ID	UMAP_X	UMAP_Y	UMAP_Z
OAS1_0002_MR1	5.931175	0.5901177	9.037145
OAS1_0003_MR1	14.376092	4.5115485	7.9743686
OAS1_0010_MR1	6.2246375	1.1590207	9.8008175
OAS1_0011_MR1	13.4925	3.4659233	8.110644
OAS1_0013_MR1	13.443371	3.1440725	8.059918
OAS1_0015_MR1	5.898672	2.4967062	8.44491
OAS1_0016_MR1	6.7230372	0.9359427	9.807826
OAS1_0018_MR1	5.243938	3.1984773	8.613543
OAS1_0019_MR1	14.583871	4.0127525	7.557419
OAS1_0020_MR1	6.1872034	0.59499115	9.292779
OAS1_0021_MR1	5.5651402	3.727816	8.932698
OAS1_0022_MR1	6.364355	2.5066638	8.145117
OAS1_0023_MR1	5.6947465	3.0660872	9.202537
OAS1_0026_MR1	13.486213	2.7459815	7.20313
OAS1_0028_MR1	5.4709215	3.708874	8.690064
OAS1_0030_MR1	13.326045	2.7033963	8.636757
OAS1_0031_MR1	14.300558	4.207702	7.6981916
OAS1_0032_MR1	12.606021	2.457445	8.859321
OAS1_0033_MR1	13.532715	2.9914253	7.4515905
OAS1_0034_MR1	6.3595223	1.7848259	8.331701
OAS1_0035_MR1	14.183985	4.526805	7.225005
OAS1_0039_MR1	14.545015	4.595059	7.5828795
OAS1_0041_MR1	6.337067	1.6052344	8.542228
OAS1_0042_MR1	5.3881927	3.4184158	8.879442
OAS1_0044_MR1	6.3834295	1.1224328	9.028146
OAS1_0046_MR1	6.0256042	1.4774313	9.697564
OAS1_0052_MR1	6.0951004	1.1956979	9.813142
OAS1_0053_MR1	13.583211	2.7414913	8.472701
OAS1_0056_MR1	13.337953	2.9154916	8.303556
OAS1_0058_MR1	14.161811	3.1444209	7.936988
OAS1_0060_MR1	5.994402	3.1702483	9.001741
OAS1_0062_MR1	5.7453055	0.75136584	8.999673
OAS1_0064_MR1	5.1263795	2.4637372	8.569925
OAS1_0065_MR1	6.1018457	2.414377	8.251893
OAS1_0066_MR1	13.129108	2.3944142	9.034436
OAS1_0067_MR1	5.27373	3.3612888	8.278885
OAS1_0068_MR1	14.67055	3.913126	8.120052
OAS1_0069_MR1	14.637566	3.4999657	7.9297414
OAS1_0070_MR1	13.641658	2.6425738	7.346027
OAS1_0071_MR1	14.465898	3.912591	8.265862
OAS1_0072_MR1	14.246192	4.281581	8.369294
OAS1_0073_MR1	5.6240726	2.6269925	9.159329
OAS1_0074_MR1	13.0135975	2.5081801	8.91086
OAS1_0075_MR1	14.401391	4.8714204	7.657784
OAS1_0078_MR1	5.4662175	2.9346325	8.173932
OAS1_0082_MR1	14.356914	4.717457	7.396549
OAS1_0083_MR1	14.628435	3.991007	7.5784755
OAS1_0084_MR1	5.1377563	2.7627537	8.498874
OAS1_0085_MR1	14.5297785	3.4742575	7.8342443
OAS1_0086_MR1	5.2011027	1.865839	8.788854
OAS1_0094_MR1	5.149523	3.2416027	8.164006
OAS1_0096_MR1	14.560463	4.7161427	7.600145
OAS1_0098_MR1	13.780605	3.2203379	7.3898582
OAS1_0106_MR1	6.3515277	1.8256469	8.300169
OAS1_0109_MR1	14.35904	4.2683883	8.274799
OAS1_0110_MR1	13.459475	3.2810278	7.708748
OAS1_0112_MR1	6.2526956	1.044692	9.588295
OAS1_0113_MR1	14.6853695	3.6761403	8.0341835
OAS1_0114_MR1	5.582286	3.3214538	8.966088
OAS1_0115_MR1	6.7214694	2.7577186	7.961987
OAS1_0116_MR1	13.817804	3.4531798	7.5116377
OAS1_0120_MR1	13.120371	2.7389328	8.443711
OAS1_0122_MR1	13.299912	2.7648609	7.897974
OAS1_0123_MR1	5.873915	0.65837353	9.120756
OAS1_0124_MR1	13.1098585	2.7216988	8.1525135
OAS1_0130_MR1	5.907	2.8551054	8.880257
OAS1_0133_MR1	5.9230165	2.6783628	8.162945
OAS1_0134_MR1	5.5094824	1.917828	9.3548355
OAS1_0135_MR1	5.1437497	1.9084214	8.822138
OAS1_0137_MR1	13.1843195	3.2346714	8.065543
OAS1_0138_MR1	14.447168	4.778424	7.9020205
OAS1_0139_MR1	5.692296	1.0564244	9.0577755
OAS1_0142_MR1	13.723591	2.8422399	7.6272154
OAS1_0143_MR1	6.0389237	1.2230878	9.48478
OAS1_0146_MR1	5.5292726	2.1808875	9.026264
OAS1_0155_MR1	6.5146394	0.90133804	9.704293
OAS1_0157_MR1	6.840871	0.9640199	9.721399
OAS1_0158_MR1	12.910046	2.5806708	8.808735
OAS1_0161_MR1	14.145691	3.1726472	7.794552
OAS1_0164_MR1	13.26177	2.5760636	8.782931
OAS1_0165_MR1	13.850748	2.8527184	8.329649
OAS1_0166_MR1	13.597707	3.0171661	7.2395983
OAS1_0169_MR1	5.4500546	1.8204786	8.469108
OAS1_0170_MR1	13.98603	3.9714217	8.276625
OAS1_0176_MR1	5.702459	1.6713418	9.452591
OAS1_0177_MR1	5.1842337	2.1591318	8.52908
OAS1_0179_MR1	14.772586	3.568138	8.12406
OAS1_0180_MR1	5.805811	0.8460532	9.267393
OAS1_0181_MR1	6.054983	1.4289457	9.32983
OAS1_0184_MR1	5.3865037	3.19817	8.709411
OAS1_0185_MR1	6.24079	2.4851506	8.27995
OAS1_0186_MR1	5.4745407	1.6360754	8.572712
OAS1_0188_MR1	13.043711	2.8603544	7.834913
OAS1_0195_MR1	6.6216583	2.9177122	8.486045
OAS1_0197_MR1	5.750823	1.5497428	9.537293
OAS1_0199_MR1	5.6738224	3.6066632	9.095591
OAS1_0200_MR1	6.595961	2.6768534	8.144897
OAS1_0201_MR1	5.9075284	2.6433883	8.141678
OAS1_0203_MR1	14.57617	4.253327	8.19429
